"","X","Y","id"
"1",-7.728916699,35.75749984,"Africa"
"2",-19.63925002,28.8315056,"Africa"
"3",-28.40345756,11.62358331,"Africa"
"4",-13.90880663,-4.023174849,"Africa"
"5",15.6423034,-33.32085102,"Africa"
"6",17.44008956,-34.9022564,"Africa"
"7",25.41776566,-34.99435575,"Africa"
"8",52.04747318,-31.5188504,"Africa"
"9",66.76684738,-19.27079578,"Africa"
"10",56.31721531,2.714197406,"Africa"
"11",55.6430455,7.747766172,"Africa"
"12",57.5531933,13.70638396,"Africa"
"13",53.62053607,14.14262173,"Africa"
"14",48.56426249,12.83149768,"Africa"
"15",46.09230652,11.73361887,"Africa"
"16",44.32261076,11.70611408,"Africa"
"17",43.59226014,12.58487736,"Africa"
"18",42.60909583,13.54258428,"Africa"
"19",42.38437256,14.27877584,"Africa"
"20",40.81130967,15.55450435,"Africa"
"21",40.36186313,17.11791495,"Africa"
"22",38.78880023,19.43828313,"Africa"
"23",37.86181675,21.77814068,"Africa"
"24",36.96292366,23.30877505,"Africa"
"25",36.28875385,25.559135,"Africa"
"26",35.05277587,27.36959643,"Africa"
"27",35.61458404,29.54268907,"Africa"
"28",34.37860606,33.09333114,"Africa"
"29",29.65941738,32.99914618,"Africa"
"30",25.27731361,33.28139852,"Africa"
"31",22.24354947,34.21564788,"Africa"
"32",17.74908406,34.77128817,"Africa"
"33",14.60295828,33.84317011,"Africa"
"34",12.91753375,34.40127253,"Africa"
"35",11.90627904,35.59777287,"Africa"
"36",12.24336394,36.68659855,"Africa"
"37",11.00738595,38.02623664,"Africa"
"38",10.22085451,38.46745083,"Africa"
"39",8.310706712,37.9376727,"Africa"
"40",3.928602943,37.76022437,"Africa"
"41",0.445392255,37.04617106,"Africa"
"42",-1.801840448,36.14407479,"Africa"
"43",-4.217615602,36.09869362,"Africa"
"44",-5.334209351,35.99080826,"Africa"
"45",-7.728916699,35.75749984,"Africa"
"46",131.0533088,1.551031471,"Eurasia"
"47",130.1148409,-1.822724663,"Eurasia"
"48",131.723643,-4.248552451,"Eurasia"
"49",129.5785735,-8.539341122,"Eurasia"
"50",121.8026963,-12.38676709,"Eurasia"
"51",114.4290196,-11.85908318,"Eurasia"
"52",102.7652038,-11.06562912,"Eurasia"
"53",92.17392282,-2.901541833,"Eurasia"
"54",85.60464726,3.977449268,"Eurasia"
"55",79.43757224,4.515826813,"Eurasia"
"56",71.66169505,8.003299219,"Eurasia"
"57",70.18695972,15.39691416,"Eurasia"
"58",67.50562275,21.40868962,"Eurasia"
"59",64.0198847,23.40310822,"Eurasia"
"60",60.4000798,20.27442485,"Eurasia"
"61",57.31654229,16.17579914,"Eurasia"
"62",52.6242026,14.61506582,"Eurasia"
"63",48.87033086,12.91154816,"Eurasia"
"64",45.6527265,11.8572516,"Eurasia"
"65",44.21150788,11.98927227,"Eurasia"
"66",43.37359008,12.77999937,"Eurasia"
"67",42.70325584,13.60101413,"Eurasia"
"68",41.99940489,15.16917516,"Eurasia"
"69",41.36258736,16.8547876,"Eurasia"
"70",39.78730189,19.48174302,"Eurasia"
"71",38.84883395,21.22024904,"Eurasia"
"72",37.47464876,23.31027338,"Eurasia"
"73",36.36859726,25.15424906,"Eurasia"
"74",35.43012933,26.7299678,"Eurasia"
"75",34.59221152,27.77835323,"Eurasia"
"76",34.62572824,28.19488984,"Eurasia"
"77",34.96089536,29.55192537,"Eurasia"
"78",33.78781043,32.58070814,"Eurasia"
"79",32.44714195,34.01607995,"Eurasia"
"80",30.46965594,35.15256676,"Eurasia"
"81",28.92788719,35.64653581,"Eurasia"
"82",27.18501816,34.87682284,"Eurasia"
"83",24.83884832,34.01607995,"Eurasia"
"84",22.92839573,34.43368602,"Eurasia"
"85",21.98992779,35.72856674,"Eurasia"
"86",16.1580199,36.24611565,"Eurasia"
"87",14.24756731,35.20760288,"Eurasia"
"88",13.14151581,36.05583829,"Eurasia"
"89",11.96843089,37.45815749,"Eurasia"
"90",11.13051309,38.09662315,"Eurasia"
"91",9.320610642,38.49283488,"Eurasia"
"92",7.912908736,38.20249284,"Eurasia"
"93",6.67279039,40.08152489,"Eurasia"
"94",3.689803018,38.80823163,"Eurasia"
"95",1.578250159,37.88441928,"Eurasia"
"96",-0.499785988,36.94877154,"Eurasia"
"97",-1.605837485,36.38174269,"Eurasia"
"98",-3.047056103,36.00138785,"Eurasia"
"99",-4.287174449,35.91964102,"Eurasia"
"100",-6.9349947,35.94689944,"Eurasia"
"101",-9.080064271,36.40883953,"Eurasia"
"102",-11.29216727,38.01711924,"Eurasia"
"103",-11.05755028,41.40700958,"Eurasia"
"104",-9.88446536,44.26750716,"Eurasia"
"105",-8.443246742,46.90260549,"Eurasia"
"106",-6.633344292,48.39722099,"Eurasia"
"107",-8.007529486,49.54456656,"Eurasia"
"108",-9.7168818,50.64413548,"Eurasia"
"109",-12.39821876,51.36312742,"Eurasia"
"110",-15.21362258,55.44511615,"Eurasia"
"111",-25.00050249,62.07343674,"Eurasia"
"112",-27.14557206,66.08519512,"Eurasia"
"113",-22.45323238,67.46092799,"Eurasia"
"114",-16.82242475,68.46770566,"Eurasia"
"115",-9.582814952,69.21830159,"Eurasia"
"116",-9.649848376,72.42807978,"Eurasia"
"117",-0.801436396,77.05247682,"Eurasia"
"118",13.67778321,80.95096821,"Eurasia"
"119",34.59221152,81.67943461,"Eurasia"
"120",63.55065073,82.31383995,"Eurasia"
"121",89.02335189,82.13241232,"Eurasia"
"122",101.3575019,81.44332427,"Eurasia"
"123",114.2279193,78.94477182,"Eurasia"
"124",121.4675291,76.56281086,"Eurasia"
"125",130.8522085,75.5283069,"Eurasia"
"126",142.3819575,77.58238968,"Eurasia"
"127",153.375439,77.46650798,"Eurasia"
"128",158.7381129,74.27112725,"Eurasia"
"129",172.6810652,72.50889902,"Eurasia"
"130",-176.3254533,72.6694572,"Eurasia"
"131",-170.9627794,72.0185236,"Eurasia"
"132",-169.0858435,69.82845954,"Eurasia"
"133",-168.0133087,66.22085054,"Eurasia"
"134",-174.4485174,63.48557852,"Eurasia"
"135",175.0942684,52.64552296,"Eurasia"
"136",156.8611771,43.7109501,"Eurasia"
"137",145.5995618,31.8398415,"Eurasia"
"138",138.0918183,16.40239644,"Eurasia"
"139",131.0533088,1.551031471,"Eurasia"
"140",133.1778324,2.517728627,"Oceania"
"141",129.5846215,0.136341765,"Oceania"
"142",129.3217036,-2.245283764,"Oceania"
"143",128.0947535,-3.21468509,"Oceania"
"144",127.5689178,-7.080182778,"Oceania"
"145",128.6205893,-11.17287652,"Oceania"
"146",123.9757069,-11.95061794,"Oceania"
"147",118.9802673,-14.44063864,"Oceania"
"148",114.5106635,-17.32413555,"Oceania"
"149",111.7062062,-20.90553906,"Oceania"
"150",109.6905026,-24.32221983,"Oceania"
"151",109.6905026,-27.17901997,"Oceania"
"152",110.742174,-29.04383456,"Oceania"
"153",113.1960742,-36.15717671,"Oceania"
"154",118.279153,-41.36789215,"Oceania"
"155",128.7958678,-41.49979978,"Oceania"
"156",140.013697,-44.70943587,"Oceania"
"157",148.0765117,-48.91803085,"Oceania"
"158",155.0876549,-54.4646137,"Oceania"
"159",164.3774197,-58.62313073,"Oceania"
"160",-171.9599719,-54.97194565,"Oceania"
"161",-153.2051638,-40.43698723,"Oceania"
"162",-119.3763978,-31.47802392,"Oceania"
"163",-119.0258406,-17.74453115,"Oceania"
"164",-134.4503557,-1.451639527,"Oceania"
"165",-146.1940206,14.10649746,"Oceania"
"166",-154.2568353,25.36904166,"Oceania"
"167",-167.5780074,32.45599756,"Oceania"
"168",178.9255419,34.22134176,"Oceania"
"169",162.4493553,25.05012385,"Oceania"
"170",152.984312,18.00388929,"Oceania"
"171",147.3753974,12.21718114,"Oceania"
"172",133.1778324,2.517728627,"Oceania"
"173",-169.2375125,72.06624603,"N_America"
"174",-168.3588131,66.15203343,"N_America"
"175",-174.3339693,63.61805263,"N_America"
"176",-178.0245069,55.27018553,"N_America"
"177",-179.0789462,52.04363826,"N_America"
"178",-178.5517266,49.71573481,"N_America"
"179",-166.7771541,50.50464092,"N_America"
"180",-154.8268417,54.76642246,"N_America"
"181",-147.0942866,58.06895194,"N_America"
"182",-143.228009,58.62230185,"N_America"
"183",-136.7256332,54.46111913,"N_America"
"184",-123.1936617,32.83579276,"N_America"
"185",-112.6492684,17.13687743,"N_America"
"186",-98.76581726,9.09997301,"N_America"
"187",-82.24626776,4.213953146,"N_America"
"188",-78.73146999,6.139115429,"N_America"
"189",-75.21667222,12.55165668,"N_America"
"190",-60.27878171,18.97472345,"N_America"
"191",-77.14981099,32.83579276,"N_America"
"192",-71.87761434,37.98853503,"N_America"
"193",-66.95689747,40.70599217,"N_America"
"194",-56.23676428,43.44466117,"N_America"
"195",-46.92255019,46.79150795,"N_America"
"196",-37.08111645,60.05596395,"N_America"
"197",-28.46986192,66.85267778,"N_America"
"198",-15.46511018,70.60470413,"N_America"
"199",-14.05919107,75.40187132,"N_America"
"200",-12.30179219,78.34319466,"N_America"
"201",-6.240867294,80.91159765,"N_America"
"202",-7.216888709,82.74239632,"N_America"
"203",-23.32124207,84.32786011,"N_America"
"204",-49.91782566,84.2550488,"N_America"
"205",-74.0743557,83.77178617,"N_America"
"206",-105.307041,81.13995985,"N_America"
"207",-169.2375125,72.06624603,"N_America"
"208",-60.41005588,19.12174303,"S_America"
"209",-75.05037711,12.55312276,"S_America"
"210",-78.95446278,6.176633666,"S_America"
"211",-82.24853506,3.989356581,"S_America"
"212",-90.91072512,1.430379058,"S_America"
"213",-93.35077866,-1.98515,"S_America"
"214",-87.25064481,-4.542836261,"S_America"
"215",-81.39451632,-9.986768169,"S_America"
"216",-76.02639853,-18.14478504,"S_America"
"217",-73.70834767,-20.6760312,"S_America"
"218",-73.09833428,-32.32833242,"S_America"
"219",-77.00241995,-41.01951466,"S_America"
"220",-78.58845475,-51.74207956,"S_America"
"221",-73.34233964,-56.59185339,"S_America"
"222",-62.85010942,-57.45507806,"S_America"
"223",-57.1159836,-55.91411735,"S_America"
"224",-55.5299488,-49.97099653,"S_America"
"225",-65.16816028,-49.73501319,"S_America"
"226",-60.89806658,-43.28041932,"S_America"
"227",-51.13785243,-35.76439207,"S_America"
"228",-45.76973464,-29.29016747,"S_America"
"229",-42.47566236,-25.72004023,"S_America"
"230",-35.76551512,-21.35934081,"S_America"
"231",-34.42348568,-12.73754958,"S_America"
"232",-31.00741072,-8.421204609,"S_America"
"233",-30.76340537,-2.960250822,"S_America"
"234",-38.93758473,-0.033504462,"S_America"
"235",-43.57368645,0.698494296,"S_America"
"236",-50.16183101,7.388099362,"S_America"
"237",-55.40794612,10.76090708,"S_America"
"238",-60.16605052,18.89104049,"S_America"
"239",-60.41005588,19.12174303,"S_America"
"240",-51.16271286,-58.47354888,"Antarctica"
"241",-16.53432006,-62.12205239,"Antarctica"
"242",14.26720727,-63.02137336,"Antarctica"
"243",46.5254681,-56.71525771,"Antarctica"
"244",64.64163131,-46.59967474,"Antarctica"
"245",80.30178161,-45.53388212,"Antarctica"
"246",93.59834157,-45.81185804,"Antarctica"
"247",112.0159225,-44.51043451,"Antarctica"
"248",125.6953594,-47.72554527,"Antarctica"
"249",144.5563952,-57.60632014,"Antarctica"
"250",167.7885321,-62.53291394,"Antarctica"
"251",-158.10228,-60.41364332,"Antarctica"
"252",-117.9455721,-57.72169203,"Antarctica"
"253",-73.74975348,-58.56243805,"Antarctica"
"254",-55.83710031,-59.32406517,"Antarctica"
"255",-51.16271286,-58.47354888,"Antarctica"
