variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig,version
bio01,BIO1,Example,FALSE,example_climate.nc,,,,1.1.0
bio10,BIO10,Example,FALSE,example_climate.nc,,,,1.1.0
bio12,BIO12,Example,FALSE,example_climate.nc,,,,1.1.0
biome,biome,Example,FALSE,example_climate.nc,,,,1.1.0
bio01,bio01,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio04,bio04,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio05,bio05,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio06,bio06,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio07,bio07,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio08,bio08,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio09,bio09,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio10,bio10,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio11,bio11,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio12,bio12,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio13,bio13,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio14,bio14,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio15,bio15,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio16,bio16,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio17,bio17,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio18,bio18,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio19,bio19,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
npp,npp,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
lai,lai,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
biome,biome,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
altitude,altitude,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,,,1.1.0
rugosity,rugosity,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_annual_vars_v1.1.0.nc?download=1,,,1.1.0
temperature_01,temperature_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_02,temperature_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_03,temperature_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_04,temperature_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_05,temperature_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_06,temperature_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_07,temperature_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_08,temperature_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_09,temperature_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_10,temperature_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_11,temperature_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
temperature_12,temperature_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_01,precipitation_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_02,precipitation_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_03,precipitation_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_04,precipitation_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_05,precipitation_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_06,precipitation_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_07,precipitation_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_08,precipitation_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_09,precipitation_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_10,precipitation_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_11,precipitation_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_12,precipitation_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_01,cloudiness_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_02,cloudiness_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_03,cloudiness_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_04,cloudiness_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_05,cloudiness_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_06,cloudiness_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_07,cloudiness_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_08,cloudiness_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_09,cloudiness_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_10,cloudiness_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_11,cloudiness_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
cloudiness_12,cloudiness_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_01,relative_humidity_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_02,relative_humidity_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_03,relative_humidity_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_04,relative_humidity_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_05,relative_humidity_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_06,relative_humidity_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_07,relative_humidity_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_08,relative_humidity_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_09,relative_humidity_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_10,relative_humidity_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_11,relative_humidity_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
relative_humidity_12,relative_humidity_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
